history_sequence,user_prompt,user_intent,candidate_endpoint,candidate_http_method,candidate_has_path_parameters,candidate_has_query_parameters,candidate_requires_request_body,candidate_path_depth,candidate_summary,next_call_user_made,llm_reason_for_candidate,is_actual_next_call
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/payments","POST",FALSE,FALSE,TRUE,1,"Creates a new payment.",/invoices/{id}/pay,"More general payment creation, not specifically for an invoice.",0
"GET /invoices; GET /invoices/{id}","Settle this invoice immediately.","User wants to process payment for the specified invoice.","/refunds","POST",FALSE,FALSE,TRUE,1,"Initiates a refund.",/invoices/{id}/pay,"Opposite of desired action.",0
"POST /customers; POST /payment_methods; POST /subscriptions","Let's finalize the setup for this new subscriber.","User aims to complete the billing and subscription setup, likely viewing the new invoice.","/invoices","GET",FALSE,TRUE,FALSE,1,"Lists invoices.",/invoices,"Common next step after creating a subscription.",1
"POST /customers; POST /payment_methods; POST /subscriptions","Let's finalize the setup for this new subscriber.","User aims to complete the billing and subscription setup, likely viewing the new invoice.","/customers","GET",FALSE,TRUE,FALSE,1,"Lists all customers.",/invoices,"Already dealt with customer creation.",0
"POST /customers; POST /payment_methods; POST /subscriptions","Let's finalize the setup for this new subscriber.","User aims to complete the billing and subscription setup, likely viewing the new invoice.","/subscriptions/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates a subscription.",/invoices,"User just created subscription, unlikely to update it immediately.",0
"POST /customers; POST /payment_methods; POST /subscriptions","Let's finalize the setup for this new subscriber.","User aims to complete the billing and subscription setup, likely viewing the new invoice.","/products","GET",FALSE,TRUE,FALSE,1,"Lists all products.",/invoices,"Unrelated to billing setup finalization.",0
"GET /users/{id}","I need to change this user's email address.","User intends to modify a specific user's email.","/users/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates an existing user.",/users/{id},"Directly corresponds to 'change email address' for this user.",1
"GET /users/{id}","I need to change this user's email address.","User intends to modify a specific user's email.","/users/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a user.",/users/{id},"Destructive action, not implied by prompt.",0
"GET /users/{id}","I need to change this user's email address.","User intends to modify a specific user's email.","/users","POST",FALSE,FALSE,TRUE,1,"Creates a new user.",/users/{id},"User is updating an existing user, not creating a new one.",0
"GET /users/{id}","I need to change this user's email address.","User intends to modify a specific user's email.","/users/{id}/password","PUT",TRUE,FALSE,TRUE,3,"Updates user password.",/users/{id},"Specific to password, not general email.",0
"GET /orders","Can you show me the most recent orders?","User wants to see a list of recent orders.","/orders","GET",FALSE,TRUE,FALSE,1,"Lists all orders.",/orders,"Directly matches prompt and is a common initial action.",1
"GET /orders","Can you show me the most recent orders?","User wants to see a list of recent orders.","/orders/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves a specific order.",/orders,"User asked for 'recent orders' (plural), not a specific one.",0
"GET /orders","Can you show me the most recent orders?","User wants to see a list of recent orders.","/invoices","GET",FALSE,TRUE,FALSE,1,"Lists all invoices.",/orders,"Related to billing, but not direct 'orders'.",0
"GET /orders","Can you show me the most recent orders?","User wants to see a list of recent orders.","/products","GET",FALSE,TRUE,FALSE,1,"Lists all products.",/orders,"Completely unrelated to orders.",0
"POST /checkout","","User has completed checkout and expects an order confirmation.","/orders","GET",FALSE,TRUE,FALSE,1,"Lists all orders.",/orders,"Common action after checkout is to review orders.",1
"POST /checkout","","User has completed checkout and expects an order confirmation.","/carts/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a shopping cart.",/orders,"Cart deletion happens implicitly or later, not for confirmation.",0
"POST /checkout","","User has completed checkout and expects an order confirmation.","/customers/{id}/addresses","GET",TRUE,FALSE,FALSE,3,"Retrieves customer addresses.",/orders,"Not relevant to order confirmation flow.",0
"POST /checkout","","User has completed checkout and expects an order confirmation.","/payment_methods","GET",FALSE,TRUE,FALSE,1,"Lists payment methods.",/orders,"Payment is done; confirmation is next.",0
"GET /customers/{id}","Update this customer's shipping address.","User wants to modify the shipping address for a specific customer.","/customers/{id}/addresses","PUT",TRUE,FALSE,TRUE,3,"Updates a customer's address.",/customers/{id}/addresses,"Directly related to updating address for the current customer.",1
"GET /customers/{id}","Update this customer's shipping address.","User wants to modify the shipping address for a specific customer.","/customers","POST",FALSE,FALSE,TRUE,1,"Creates a new customer.",/customers/{id}/addresses,"User is updating existing, not creating new.",0
"GET /customers/{id}","Update this customer's shipping address.","User wants to modify the shipping address for a specific customer.","/products","GET",FALSE,TRUE,FALSE,1,"Lists all products.",/customers/{id}/addresses,"Irrelevant to customer address update.",0
"GET /customers/{id}","Update this customer's shipping address.","User wants to modify the shipping address for a specific customer.","/customers/{id}/invoices","GET",TRUE,TRUE,FALSE,3,"Lists invoices for a customer.",/customers/{id}/addresses,"About invoices, not addresses.",0
"GET /subscriptions/{id}","Cancel this subscription.","User wants to terminate a specific subscription.","/subscriptions/{id}","DELETE",TRUE,FALSE,FALSE,2,"Cancels a subscription.",/subscriptions/{id},"Directly matches the intent to cancel the subscription.",1
"GET /subscriptions/{id}","Cancel this subscription.","User wants to terminate a specific subscription.","/subscriptions/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates a subscription.",/subscriptions/{id},"User wants to cancel, not update.",0
"GET /subscriptions/{id}","Cancel this subscription.","User wants to terminate a specific subscription.","/subscriptions","POST",FALSE,FALSE,TRUE,1,"Creates a new subscription.",/subscriptions/{id},"Opposite action.",0
"GET /subscriptions/{id}","Cancel this subscription.","User wants to terminate a specific subscription.","/customers/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves customer details.",/subscriptions/{id},"Too general, not direct action on subscription.",0
"POST /events","Log user activity.","User wants to record an event.","/events","POST",FALSE,FALSE,TRUE,1,"Logs a new event.",/events,"Directly matches prompt and intent.",1
"POST /events","Log user activity.","User wants to record an event.","/metrics","POST",FALSE,FALSE,TRUE,1,"Submits new metrics data.",/events,"Related to logging, but not direct event logging.",0
"POST /events","Log user activity.","User wants to record an event.","/reports","GET",FALSE,TRUE,FALSE,1,"Generates system reports.",/events,"Reporting is usually a separate flow.",0
"POST /events","Log user activity.","User wants to record an event.","/users","GET",FALSE,TRUE,FALSE,1,"Lists all users.",/events,"Unrelated.",0
"GET /users; GET /users/{id}","I need to reset this user's password.","User intends to reset the password for a specific user.","/users/{id}/password","PUT",TRUE,FALSE,TRUE,3,"Resets or updates a user's password.",/users/{id}/password,"Directly matches prompt about password reset.",1
"GET /users; GET /users/{id}","I need to reset this user's password.","User intends to reset the password for a specific user.","/users/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates user details (but not password).",/users/{id}/password,"Too general for password reset.",0
"GET /users; GET /users/{id}","I need to reset this user's password.","User intends to reset the password for a specific user.","/users/{id}/login","POST",TRUE,FALSE,TRUE,3,"Logs in a user.",/users/{id}/password,"Login is for user, not admin password reset.",0
"GET /users; GET /users/{id}","I need to reset this user's password.","User intends to reset the password for a specific user.","/roles","GET",FALSE,TRUE,FALSE,1,"Lists available roles.",/users/{id}/password,"Irrelevant.",0
"POST /products","Add a new product to our catalog.","User wants to create a new product entry.","/products","POST",FALSE,FALSE,TRUE,1,"Creates a new product.",/products,"Directly matches 'add a new product'.",1
"POST /products","Add a new product to our catalog.","User wants to create a new product entry.","/products/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves a specific product.",/products,"User is creating, not viewing existing.",0
"POST /products","Add a new product to our catalog.","User wants to create a new product entry.","/categories","POST",FALSE,FALSE,TRUE,1,"Creates a new category.",/products,"Related but not the direct action of adding a product.",0
"POST /products","Add a new product to our catalog.","User wants to create a new product entry.","/inventory","POST",FALSE,FALSE,TRUE,1,"Updates inventory levels.",/products,"Inventory comes after product creation.",0
"GET /reports","Generate the sales report for last quarter.","User wants to retrieve a sales report for a specific period.","/reports/sales","GET",FALSE,TRUE,FALSE,2,"Retrieves sales report.",/reports/sales,"Specific prompt for sales report.",1
"GET /reports","Generate the sales report for last quarter.","User wants to retrieve a sales report for a specific period.","/reports/financial","GET",FALSE,TRUE,FALSE,2,"Retrieves financial report.",/reports/sales,"Related, but prompt specified 'sales'.",0
"GET /reports","Generate the sales report for last quarter.","User wants to retrieve a sales report for a specific period.","/reports","POST",FALSE,FALSE,TRUE,1,"Creates a new report.",/reports/sales,"User wants to *retrieve*, not create.",0
"GET /reports","Generate the sales report for last quarter.","User wants to retrieve a sales report for a specific period.","/data_exports","POST",FALSE,FALSE,TRUE,1,"Initiates a data export.",/reports/sales,"Broader data export, not specific report retrieval.",0
"GET /documents","Can you help me organize these files?","User wants to sort and filter existing documents.","/documents","GET",FALSE,TRUE,FALSE,1,"Retrieves a list of documents with filtering options.",/documents,"User's prompt indicates a desire to view/filter existing documents.",1
"GET /documents","Can you help me organize these files?","User wants to sort and filter existing documents.","/documents","POST",FALSE,FALSE,TRUE,1,"Uploads a new document.",/documents,"User wants to organize existing, not upload new.",0
"GET /documents","Can you help me organize these files?","User wants to sort and filter existing documents.","/folders","POST",FALSE,FALSE,TRUE,1,"Creates a new folder.",/documents,"Creating folder is a different organization step.",0
"GET /documents","Can you help me organize these files?","User wants to sort and filter existing documents.","/documents/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a specific document.",/documents,"Destructive action, not implied.",0
"POST /tasks","I need to assign this task to someone.","User is creating a task and now needs to assign it.","/tasks/{id}/assign","PUT",TRUE,FALSE,TRUE,3,"Assigns a task to a user.",/tasks/{id}/assign,"Follow-up to task creation is often assignment.",1
"POST /tasks","I need to assign this task to someone.","User is creating a task and now needs to assign it.","/tasks/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves details of a task.",/tasks/{id}/assign,"User wants to assign, not just view.",0
"POST /tasks","I need to assign this task to someone.","User is creating a task and now needs to assign it.","/users","GET",FALSE,TRUE,FALSE,1,"Lists all users.",/tasks/{id}/assign,"Might be a step before assignment, but 'assign' is more direct.",0
"POST /tasks","I need to assign this task to someone.","User is creating a task and now needs to assign it.","/projects","GET",FALSE,TRUE,FALSE,1,"Lists projects.",/tasks/{id}/assign,"Unrelated to task assignment.",0
"PUT /user_profiles/{id}","My password needs to be updated.","User wants to change their password.","/user_profiles/{id}/password","PUT",TRUE,FALSE,TRUE,3,"Updates a user's password.",/user_profiles/{id}/password,"Direct match to 'password update' intent.",1
"PUT /user_profiles/{id}","My password needs to be updated.","User wants to change their password.","/user_profiles/{id}/email","PUT",TRUE,FALSE,TRUE,3,"Updates a user's email.",/user_profiles/{id}/password,"Specific to email, not password.",0
"PUT /user_profiles/{id}","My password needs to be updated.","User wants to change their password.","/login","POST",FALSE,FALSE,TRUE,1,"Logs a user in.",/user_profiles/{id}/password,"Login is not password update.",0
"PUT /user_profiles/{id}","My password needs to be updated.","User wants to change their password.","/settings","GET",FALSE,TRUE,FALSE,1,"Retrieves user settings.",/user_profiles/{id}/password,"Too broad, not specific enough.",0
"GET /channels","I want to create a new discussion channel.","User is viewing channels and wants to create a new one.","/channels","POST",FALSE,FALSE,TRUE,1,"Creates a new communication channel.",/channels,"Prompt directly states 'create new discussion channel'.",1
"GET /channels","I want to create a new discussion channel.","User is viewing channels and wants to create a new one.","/channels/{id}/messages","GET",TRUE,TRUE,FALSE,3,"Retrieves messages in a channel.",/channels,"User wants to create a channel, not view messages.",0
"GET /channels","I want to create a new discussion channel.","User is viewing channels and wants to create a new one.","/messages","POST",FALSE,FALSE,TRUE,1,"Sends a new message.",/channels,"Creating a message is different from creating a channel.",0
"GET /channels","I want to create a new discussion channel.","User is viewing channels and wants to create a new one.","/teams","GET",FALSE,TRUE,FALSE,1,"Lists all teams.",/channels,"Unrelated to channel creation.",0
"POST /deals","Update the status of this deal.","User wants to change the stage of an existing sales deal.","/deals/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates a sales deal.",/deals/{id},"Directly addresses 'update status' for a deal.",1
"POST /deals","Update the status of this deal.","User wants to change the stage of an existing sales deal.","/deals/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a sales deal.",/deals/{id},"Destructive action, not implied.",0
"POST /deals","Update the status of this deal.","User wants to change the stage of an existing sales deal.","/leads","GET",FALSE,TRUE,FALSE,1,"Lists sales leads.",/deals/{id},"About leads, not deals.",0
"POST /deals","Update the status of this deal.","User wants to change the stage of an existing sales deal.","/pipeline","GET",FALSE,TRUE,FALSE,1,"Retrieves sales pipeline.",/deals/{id},"Contextual, but not direct update.",0
"POST /files","I need to share this document with a colleague.","User wants to enable sharing for a newly uploaded file.","/files/{id}/share","POST",TRUE,FALSE,TRUE,3,"Shares a file with specified users.",/files/{id}/share,"Directly addresses 'share this document'.",1
"POST /files","I need to share this document with a colleague.","User wants to enable sharing for a newly uploaded file.","/files/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves a specific file.",/files/{id}/share,"User wants to share, not just view.",0
"POST /files","I need to share this document with a colleague.","User wants to enable sharing for a newly uploaded file.","/users","GET",FALSE,TRUE,FALSE,1,"Lists all users.",/files/{id}/share,"Might be a step before sharing, but 'share' is more direct.",0
"POST /files","I need to share this document with a colleague.","User wants to enable sharing for a newly uploaded file.","/permissions","GET",FALSE,TRUE,FALSE,1,"Lists permissions.",/files/{id}/share,"Related, but not direct sharing action.",0
"GET /analytics/reports","Generate a new monthly report.","User wants to trigger the creation of a new analytical report.","/analytics/reports","POST",FALSE,FALSE,TRUE,2,"Generates a new analytics report.",/analytics/reports,"Directly matches 'generate new monthly report'.",1
"GET /analytics/reports","Generate a new monthly report.","User wants to trigger the creation of a new analytical report.","/analytics/metrics","GET",FALSE,TRUE,FALSE,2,"Retrieves raw metrics.",/analytics/reports,"User wants a *report*, not raw metrics.",0
"GET /analytics/reports","Generate a new monthly report.","User wants to trigger the creation of a new analytical report.","/dashboards","GET",FALSE,TRUE,FALSE,1,"Lists user dashboards.",/analytics/reports,"Viewing dashboards is different from generating a new report.",0
"GET /analytics/reports","Generate a new monthly report.","User wants to trigger the creation of a new analytical report.","/analytics/reports/{id}","DELETE",TRUE,FALSE,FALSE,3,"Deletes an analytics report.",/analytics/reports,"Destructive, not creation.",0
"POST /notifications","I want to send an alert to all active users.","User wants to broadcast a notification to many users.","/notifications/broadcast","POST",FALSE,FALSE,TRUE,2,"Broadcasts a notification to multiple users.",/notifications/broadcast,"Specific intent for a broadcast alert.",1
"POST /notifications","I want to send an alert to all active users.","User wants to broadcast a notification to many users.","/notifications","GET",FALSE,TRUE,FALSE,1,"Lists all notifications.",/notifications/broadcast,"User wants to send, not list existing.",0
"POST /notifications","I want to send an alert to all active users.","User wants to broadcast a notification to many users.","/users/{id}/messages","POST",TRUE,FALSE,TRUE,3,"Sends a message to a specific user.",/notifications/broadcast,"Too specific to a single user, not 'all active users'.",0
"POST /notifications","I want to send an alert to all active users.","User wants to broadcast a notification to many users.","/subscriptions","GET",FALSE,TRUE,FALSE,1,"Lists user subscriptions.",/notifications/broadcast,"Unrelated.",0
"GET /settings","","User needs to adjust system settings.","/settings/{key}","PUT",TRUE,FALSE,TRUE,2,"Updates a specific system setting.",/settings/{key},"Common follow-up to viewing settings is updating one.",1
"GET /settings","","User needs to adjust system settings.","/settings","POST",FALSE,FALSE,TRUE,1,"Creates a new setting (less common).",/settings/{key},"Unlikely to create a new setting after viewing general settings.",0
"GET /settings","","User needs to adjust system settings.","/users/{id}/settings","GET",TRUE,FALSE,FALSE,3,"Retrieves user-specific settings.",/settings/{key},"Viewing global settings, not user-specific.",0
"GET /settings","","User needs to adjust system settings.","/logs","GET",FALSE,TRUE,FALSE,1,"Retrieves system logs.",/settings/{key},"Unrelated.",0
"POST /projects","Add a new member to this project.","User created a project and now wants to add a team member.","/projects/{id}/members","POST",TRUE,FALSE,TRUE,3,"Adds a member to a project.",/projects/{id}/members,"Directly matches 'add a new member'.",1
"POST /projects","Add a new member to this project.","User created a project and now wants to add a team member.","/projects/{id}/tasks","POST",TRUE,FALSE,TRUE,3,"Creates a new task within a project.",/projects/{id}/members,"Task creation is a different action.",0
"POST /projects","Add a new member to this project.","User created a project and now wants to add a team member.","/teams/{id}/members","POST",TRUE,FALSE,TRUE,3,"Adds a member to a team.",/projects/{id}/members,"Adding to a team, not a specific project.",0
"POST /projects","Add a new member to this project.","User created a project and now wants to add a team member.","/users","GET",FALSE,TRUE,FALSE,1,"Lists all users.",/projects/{id}/members,"Might be a step before adding, but not the direct action.",0
"GET /tickets","I need to close this support ticket.","User is viewing tickets and wants to mark one as closed.","/tickets/{id}","PUT",TRUE,FALSE,TRUE,2,"Updates a support ticket, including status.",/tickets/{id},"Directly matches 'close this support ticket'.",1
"GET /tickets","I need to close this support ticket.","User is viewing tickets and wants to mark one as closed.","/tickets/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a support ticket.",/tickets/{id},"Closing isn't always deleting; usually an update.",0
"GET /tickets","I need to close this support ticket.","User is viewing tickets and wants to mark one as closed.","/tickets","POST",FALSE,FALSE,TRUE,1,"Creates a new support ticket.",/tickets/{id},"User wants to close, not create.",0
"GET /tickets","I need to close this support ticket.","User is viewing tickets and wants to mark one as closed.","/agents","GET",FALSE,TRUE,FALSE,1,"Lists support agents.",/tickets/{id},"Irrelevant.",0
"POST /webhooks","Configure a new webhook for customer updates.","User wants to set up a new webhook for specific events.","/webhooks","POST",FALSE,FALSE,TRUE,1,"Creates a new webhook subscription.",/webhooks,"Directly matches 'configure a new webhook'.",1
"POST /webhooks","Configure a new webhook for customer updates.","User wants to set up a new webhook for specific events.","/webhooks/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves details of a specific webhook.",/webhooks,"User is creating, not viewing existing.",0
"POST /webhooks","Configure a new webhook for customer updates.","User wants to set up a new webhook for specific events.","/events/types","GET",FALSE,TRUE,FALSE,2,"Lists available event types.",/webhooks,"Might be a preliminary step, but not the webhook creation itself.",0
"POST /webhooks","Configure a new webhook for customer updates.","User wants to set up a new webhook for specific events.","/endpoints","POST",FALSE,FALSE,TRUE,1,"Creates a new API endpoint (unlikely for user).",/webhooks,"Completely unrelated.",0
"GET /user_activities","What has this user been doing recently?","User is checking the activity log for a specific user.","/user_activities/{id}","GET",TRUE,TRUE,FALSE,2,"Retrieves activity for a specific user.",/user_activities/{id},"Directly addresses 'what has this user been doing'.",1
"GET /user_activities","What has this user been doing recently?","User is checking the activity log for a specific user.","/user_activities","GET",FALSE,TRUE,FALSE,1,"Lists all user activities.",/user_activities/{id},"User specified 'this user', so needs specific ID.",0
"GET /user_activities","What has this user been doing recently?","User is checking the activity log for a specific user.","/audit_logs","GET",FALSE,TRUE,FALSE,1,"Retrieves system audit logs.",/user_activities/{id},"Audit logs are broader than user activity.",0
"GET /user_activities","What has this user been doing recently?","User is checking the activity log for a specific user.","/users/{id}/profile","GET",TRUE,FALSE,FALSE,3,"Retrieves user profile details.",/user_activities/{id},"User wants activity, not profile details.",0
"POST /images","Upload a new profile picture.","User wants to add an image as their profile picture.","/images/profile","POST",FALSE,FALSE,TRUE,2,"Uploads a new profile picture.",/images/profile,"Matches intent and specific context.",1
"POST /images","Upload a new profile picture.","User wants to add an image as their profile picture.","/images","POST",FALSE,FALSE,TRUE,1,"Uploads a general image.",/images/profile,"Too generic, user specified 'profile picture'.",0
"POST /images","Upload a new profile picture.","User wants to add an image as their profile picture.","/users/{id}/avatar","PUT",TRUE,FALSE,TRUE,3,"Updates a user's avatar.",/images/profile,"Similar, but if this API exists, it might be the direct one. Assumed /images/profile is for *uploading* a new one, this is for *setting* an existing image as avatar.",0
"POST /images","Upload a new profile picture.","User wants to add an image as their profile picture.","/galleries","POST",FALSE,FALSE,TRUE,1,"Creates a new image gallery.",/images/profile,"Creating gallery is different from uploading a picture.",0
"GET /products/{id}/reviews","I want to leave a review for this product.","User has viewed product reviews and now wants to add a new one.","/products/{id}/reviews","POST",TRUE,FALSE,TRUE,3,"Submits a new review for a product.",/products/{id}/reviews,"Directly aligns with 'leave a review'.",1
"GET /products/{id}/reviews","I want to leave a review for this product.","User has viewed product reviews and now wants to add a new one.","/products/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves details of a product.",/products/{id}/reviews,"Already viewed product, wants to review.",0
"GET /products/{id}/reviews","I want to leave a review for this product.","User has viewed product reviews and now wants to add a new one.","/users/{id}/reviews","GET",TRUE,TRUE,FALSE,3,"Lists reviews by a specific user.",/products/{id}/reviews,"Reviews by user, not for product.",0
"GET /products/{id}/reviews","I want to leave a review for this product.","User has viewed product reviews and now wants to add a new one.","/reviews/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a specific review.",/products/{id}/reviews,"Destructive, not creation.",0
"POST /teams","I need to add a new member to this team.","User has created a team and wants to invite a new person.","/teams/{id}/members","POST",TRUE,FALSE,TRUE,3,"Adds a member to a team.",/teams/{id}/members,"Directly aligns with 'add new member'.",1
"POST /teams","I need to add a new member to this team.","User has created a team and wants to invite a new person.","/users","POST",FALSE,FALSE,TRUE,1,"Creates a new user.",/teams/{id}/members,"Creating a user is different from adding to a team.",0
"POST /teams","I need to add a new member to this team.","User has created a team and wants to invite a new person.","/teams/{id}/channels","POST",TRUE,FALSE,TRUE,3,"Creates a new channel in a team.",/teams/{id}/members,"Creating channel, not adding members.",0
"POST /teams","I need to add a new member to this team.","User has created a team and wants to invite a new person.","/invitations","POST",FALSE,FALSE,TRUE,1,"Sends an invitation to join.",/teams/{id}/members,"Might be internal step, but add member is the direct action.",0
"GET /reports/users","I need a report of all inactive users.","User wants to generate a report on user activity status.","/reports/users/inactive","GET",FALSE,TRUE,FALSE,3,"Generates a report of inactive users.",/reports/users/inactive,"Specific report requested.",1
"GET /reports/users","I need a report of all inactive users.","User wants to generate a report on user activity status.","/reports/users/active","GET",FALSE,TRUE,FALSE,3,"Generates a report of active users.",/reports/users/inactive,"Opposite of requested report.",0
"GET /reports/users","I need a report of all inactive users.","User wants to generate a report on user activity status.","/users","GET",FALSE,TRUE,FALSE,1,"Lists all users.",/reports/users/inactive,"Too broad, user wants a *report*.",0
"GET /reports/users","I need a report of all inactive users.","User wants to generate a report on user activity status.","/reports","POST",FALSE,FALSE,TRUE,1,"Creates a general report.",/reports/users/inactive,"Not specific enough.",0
"POST /messages","I want to reply to the last message.","User received a message and wants to respond.","/messages/{id}/reply","POST",TRUE,FALSE,TRUE,3,"Sends a reply to a specific message.",/messages/{id}/reply,"Directly matches 'reply to the last message'.",1
"POST /messages","I want to reply to the last message.","User received a message and wants to respond.","/messages","POST",FALSE,FALSE,TRUE,1,"Sends a new message.",/messages/{id}/reply,"User wants to reply, not create new message.",0
"POST /messages","I want to reply to the last message.","User received a message and wants to respond.","/messages/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves a specific message.",/messages/{id}/reply,"User wants to respond, not just view.",0
"POST /messages","I want to reply to the last message.","User received a message and wants to respond.","/notifications","POST",FALSE,FALSE,TRUE,1,"Sends a notification.",/messages/{id}/reply,"Unrelated to messaging.",0
"GET /configurations","","User is inspecting the current configuration.","/configurations/{key}","PUT",TRUE,FALSE,TRUE,2,"Updates a specific configuration setting.",/configurations/{key},"After viewing, updating a specific setting is common.",1
"GET /configurations","","User is inspecting the current configuration.","/configurations","POST",FALSE,FALSE,TRUE,1,"Creates a new configuration.",/configurations/{key},"User is inspecting, not creating.",0
"GET /configurations","","User is inspecting the current configuration.","/configurations/history","GET",FALSE,TRUE,FALSE,2,"Retrieves configuration change history.",/configurations/{key},"Possible, but updating specific key is more direct after viewing.",0
"GET /configurations","","User is inspecting the current configuration.","/logs","GET",FALSE,TRUE,FALSE,1,"Retrieves system logs.",/configurations/{key},"Unrelated.",0
"PUT /leads/{id}","This lead needs to be converted to a customer.","User is updating a lead and wants to change its status to 'customer'.","/leads/{id}/convert","POST",TRUE,FALSE,FALSE,3,"Converts a lead into a customer.",/leads/{id}/convert,"Directly matches 'convert to a customer'.",1
"PUT /leads/{id}","This lead needs to be converted to a customer.","User is updating a lead and wants to change its status to 'customer'.","/leads/{id}","DELETE",TRUE,FALSE,FALSE,2,"Deletes a lead.",/leads/{id}/convert,"Destructive, opposite intent.",0
"PUT /leads/{id}","This lead needs to be converted to a customer.","User is updating a lead and wants to change its status to 'customer'.","/customers","POST",FALSE,FALSE,TRUE,1,"Creates a new customer.",/leads/{id}/convert,"The conversion typically handles customer creation.",0
"PUT /leads/{id}","This lead needs to be converted to a customer.","User is updating a lead and wants to change its status to 'customer'.","/opportunities","POST",FALSE,FALSE,TRUE,1,"Creates a new sales opportunity.",/leads/{id}/convert,"Might be subsequent, but not the conversion itself.",0
"GET /metrics","Show me the latest dashboard data.","User wants to see real-time metrics on a dashboard.","/dashboards/{id}","GET",TRUE,FALSE,FALSE,2,"Retrieves a specific dashboard's data.",/dashboards/{id},"Matches 'latest dashboard data'.",1
"GET /metrics","Show me the latest dashboard data.","User wants to see real-time metrics on a dashboard.","/metrics","POST",FALSE,FALSE,TRUE,1,"Submits new metrics data.",/dashboards/{id},"User is viewing, not submitting.",0
"GET /metrics","Show me the latest dashboard data.","User wants to see real-time metrics on a dashboard.","/charts","GET",FALSE,TRUE,FALSE,1,"Retrieves chart configurations.",/dashboards/{id},"Related, but not direct dashboard view.",0
"GET /metrics","Show me the latest dashboard data.","User wants to see real-time metrics on a dashboard.","/reports","GET",FALSE,TRUE,FALSE,1,"Retrieves pre-generated reports.",/dashboards/{id},"Dashboard is real-time, reports are often historical.",0
